,genus,line,kingdom,phylum,class,order,family
359,g__Alteromonas,810643.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
360,g__Pasteurella,1142145.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Pasteurellales, f__Pasteurellaceae
361,g__Blattabacterium,93765.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__Blattabacteriaceae
362,g__Shinella,4100332.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Rhizobiaceae
363,g__Mycoplana,4100335.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Caulobacterales, f__Caulobacteraceae
364,g__Phyllobacterium,147025.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhizobiales, f__Phyllobacteriaceae
365,g__Dokdonella,315977.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Xanthomonadales, f__Xanthomonadaceae
366,g__LCP-6,815761.0,k__Bacteria, p__Nitrospirae, c__Nitrospira, o__Nitrospirales, f__[Thermodesulfovibrionaceae]
367,g__Candidatus Accumulibacter,935677.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
368,g__Photobacterium,334533.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Vibrionales, f__Vibrionaceae
369,g__Nesterenkonia,581861.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Micrococcaceae
370,g__Plesiocystis,1115600.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Nannocystaceae
371,g__Actinotalea,159316.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Cellulomonadaceae
372,g__Pseudobutyrivibrio,249111.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Lachnospiraceae
373,g__Ardenscatena,277153.0,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Ardenscatenales, f__Ardenscatenaceae
374,g__Haliscomenobacter,323580.0,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Saprospiraceae
375,g__Microbulbifer,99722.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__Alteromonadaceae
376,g__Thauera,4339870.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Rhodocyclales, f__Rhodocyclaceae
377,g__Actinomadura,1140810.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Thermomonosporaceae
378,g__Roseiflexus,161690.0,k__Bacteria, p__Chloroflexi, c__Chloroflexi, o__[Roseiflexales], f__[Roseiflexaceae]
379,g__Euzebya,2219500.0,k__Bacteria, p__Actinobacteria, c__Nitriliruptoria, o__Euzebyales, f__Euzebyaceae
380,g__Polynucleobacter,3828855.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Oxalobacteraceae
381,g__Methanosarcina,1109113.0,k__Archaea, p__Euryarchaeota, c__Methanomicrobia, o__Methanosarcinales, f__Methanosarcinaceae
382,g__Chitinophaga,4451312.0,k__Bacteria, p__Bacteroidetes, c__[Saprospirae], o__[Saprospirales], f__Chitinophagaceae
383,g__Candidatus Rhodoluna,826611.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Microbacteriaceae
384,g__HTCC,706091.0,k__Bacteria, p__Proteobacteria, c__Gammaproteobacteria, o__Alteromonadales, f__HTCC2188
385,g__Geothermobacterium,305914.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Thermodesulfobacteriales, f__Thermodesulfobacteriaceae
386,g__Sorangium,728797.0,k__Bacteria, p__Proteobacteria, c__Deltaproteobacteria, o__Myxococcales, f__Polyangiaceae
387,g__Gemmatimonas,957408.0,k__Bacteria, p__Gemmatimonadetes, c__Gemmatimonadetes, o__Gemmatimonadales, f__Gemmatimonadaceae
388,g__Rhodovulum,4353134.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Rhodobacterales, f__Rhodobacteraceae
389,g__Truepera,1002971.0,k__Bacteria, p__[Thermi], c__Deinococci, o__Deinococcales, f__Trueperaceae
390,g__Sphingopyxis,817683.0,k__Bacteria, p__Proteobacteria, c__Alphaproteobacteria, o__Sphingomonadales, f__Sphingomonadaceae
391,g__Anaeroplasma,15703.0,k__Bacteria, p__Tenericutes, c__Mollicutes, o__Anaeroplasmatales, f__Anaeroplasmataceae
392,g__Ornithobacterium,571063.0,k__Bacteria, p__Bacteroidetes, c__Flavobacteriia, o__Flavobacteriales, f__[Weeksellaceae]
393,g__Lautropia,4352421.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Burkholderiaceae
394,g__Dolichospermum,808532.0,k__Bacteria, p__Cyanobacteria, c__Nostocophycideae, o__Nostocales, f__Nostocaceae
395,g__Syntrophomonas,1142437.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Syntrophomonadaceae
396,g__WCHB1-05,2745.0,k__Bacteria, p__Chloroflexi, c__Anaerolineae, o__Anaerolineales, f__Anaerolinaceae
397,g__Stygiolobus,192529.0,k__Archaea, p__Crenarchaeota, c__Thermoprotei, o__Sulfolobales, f__Sulfolobaceae
398,g__Arthronema,659044.0,k__Bacteria, p__Cyanobacteria, c__Synechococcophycideae, o__Pseudanabaenales, f__Pseudanabaenaceae
399,g__Jeotgalicoccus,529459.0,k__Bacteria, p__Firmicutes, c__Bacilli, o__Bacillales, f__Staphylococcaceae
400,g__Nocardioides,222071.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Nocardioidaceae
401,g__Thermodesulfovibrio,593688.0,k__Bacteria, p__Nitrospirae, c__Nitrospira, o__Nitrospirales, f__[Thermodesulfovibrionaceae]
402,g__Georgenia,330435.0,k__Bacteria, p__Actinobacteria, c__Actinobacteria, o__Actinomycetales, f__Bogoriellaceae
403,g__Geosporobacter_Thermotalea,815210.0,k__Bacteria, p__Firmicutes, c__Clostridia, o__Clostridiales, f__Clostridiaceae
404,g__Variovorax,4331236.0,k__Bacteria, p__Proteobacteria, c__Betaproteobacteria, o__Burkholderiales, f__Comamonadaceae
405,g__Verrucomicrobium,3127967.0,k__Bacteria, p__Verrucomicrobia, c__Verrucomicrobiae, o__Verrucomicrobiales, f__Verrucomicrobiaceae
